Date,Odpiralni,Najvišji,Najnižji,Zapiralni,Prilagojen_zaključni,Volumen,Dnevni_donos,Dnevni_razpon,Povprečni,Vrednost_izmenjanega
2018-07-02,45.955,46.825,45.855,46.795,44.721,70925200,,45.855 - 46.825,46.34,3286673768.0
2018-07-03,46.947,46.987,45.885,45.98,43.942,55819200,-1.7416390640025758,45.885 - 46.987,46.436,2592020371.2
2018-07-05,46.315,46.603,46.07,46.35,44.296,66416800,0.8046976946498585,46.07 - 46.603,46.336,3077488844.8
2018-07-06,46.355,47.107,46.3,46.993,44.91,69940800,1.3872707659115413,46.3 - 47.107,46.704,3266515123.2
2018-07-09,47.375,47.67,47.325,47.645,45.533,79026400,1.3874406826548613,47.325 - 47.67,47.498,3753595947.2
2018-07-10,47.678,47.82,47.545,47.588,45.478,63756400,-0.11963479903452923,47.545 - 47.82,47.683,3040096421.2
2018-07-11,47.125,47.445,46.903,46.97,44.888,75326000,-1.2986467176599237,46.903 - 47.445,47.174,3553428724.0
2018-07-12,47.382,47.853,47.327,47.757,45.641,72164400,1.675537577176911,47.327 - 47.853,47.59,3434303796.0
2018-07-13,47.77,47.96,47.725,47.833,45.712,50055600,0.15913897439119307,47.725 - 47.96,47.842,2394760015.2
2018-07-16,47.88,48.162,47.605,47.728,45.612,60172400,-0.2195137248343082,47.605 - 48.162,47.884,2881295201.6
2018-07-17,47.438,47.967,47.3,47.862,45.741,62138000,0.280757626550443,47.3 - 47.967,47.634,2959881492.0
2018-07-18,47.945,47.95,47.482,47.6,45.49,65573600,-0.5474071288287141,47.482 - 47.95,47.716,3128909897.6
2018-07-19,47.423,48.138,47.423,47.97,45.844,81147200,0.7773109243697451,47.423 - 48.138,47.78,3877213216.0
2018-07-20,47.945,48.107,47.542,47.86,45.739,82704800,-0.22930998540754421,47.542 - 48.107,47.824,3955274355.2
2018-07-23,47.67,47.99,47.39,47.903,45.779,63957600,0.08984538236522788,47.39 - 47.99,47.69,3050137944.0
2018-07-24,48.112,48.415,48.013,48.25,46.111,74791600,0.7243805189654173,48.013 - 48.415,48.214,3606002202.4
2018-07-25,48.265,48.713,48.107,48.705,46.546,66839600,0.9430051813471563,48.107 - 48.713,48.41,3235705036.0
2018-07-26,48.653,48.99,48.403,48.553,46.4,76304000,-0.3120829483625909,48.403 - 48.99,48.696,3715699584.0
2018-07-27,48.748,48.798,47.525,47.745,45.629,96096000,-1.6641608139558839,47.525 - 48.798,48.162,4628175552.0
2018-07-30,47.975,48.05,47.268,47.478,45.373,84118000,-0.5592208608231175,47.268 - 48.05,47.659,4008979762.0
2018-07-31,47.575,48.035,47.335,47.572,45.464,157492000,0.19798643582291664,47.335 - 48.035,47.685,7510006020.0
2018-08-01,49.783,50.44,49.327,50.375,48.142,271742800,5.892121415958962,49.327 - 50.44,49.884,13555617835.2
2018-08-02,50.145,52.095,50.088,51.847,49.549,249616000,2.9220843672456587,50.088 - 52.095,51.092,12753380672.0
2018-08-03,51.757,52.185,51.37,51.998,49.693,133789600,0.2912415376010058,51.37 - 52.185,51.778,6927357908.8
2018-08-06,52.0,52.312,51.768,52.268,49.951,101701600,0.5192507404131019,51.768 - 52.312,52.04,5292551264.0
2018-08-07,52.33,52.375,51.69,51.778,49.482,102349600,-0.9374760847937536,51.69 - 52.375,52.032,5325454387.2
2018-08-08,51.513,51.952,51.13,51.812,49.516,90102000,0.06566495422766216,51.13 - 51.952,51.541,4643947182.0
2018-08-09,52.382,52.445,51.8,52.22,49.905,93970400,0.7874623639311462,51.8 - 52.445,52.122,4897925188.8
2018-08-10,51.84,52.275,51.667,51.882,49.757,98444800,-0.6472615855993902,51.667 - 52.275,51.971,5116274700.8
2018-08-13,52.327,52.737,51.925,52.217,50.078,103563600,0.6456960024671332,51.925 - 52.737,52.331,5419586751.6
2018-08-14,52.54,52.64,52.065,52.438,50.289,82992000,0.42323381274298466,52.065 - 52.64,52.352,4344797184.0
2018-08-15,52.305,52.685,52.083,52.56,50.406,115230400,0.2326557076928859,52.083 - 52.685,52.384,6036229273.6
2018-08-16,52.938,53.452,52.868,53.33,51.145,114001600,1.4649923896499217,52.868 - 53.452,53.16,6060325056.0
2018-08-17,53.36,54.487,53.29,54.395,52.166,141708000,1.996999812488287,53.29 - 54.487,53.888,7636360704.0
2018-08-20,54.525,54.795,53.778,53.865,51.658,121150800,-0.9743542605018862,53.778 - 54.795,54.287,6576913479.6
2018-08-21,54.2,54.298,53.507,53.76,51.557,104639200,-0.19493177387914784,53.507 - 54.298,53.902,5640262158.4
2018-08-22,53.525,54.09,53.46,53.763,51.56,76072400,0.005580357142864756,53.46 - 54.09,53.775,4090793310.0
2018-08-23,53.662,54.263,53.65,53.873,51.665,75532800,0.20460167773375115,53.65 - 54.263,53.956,4075447756.8
2018-08-24,54.15,54.225,53.778,54.04,51.826,73905600,0.3099883058303776,53.778 - 54.225,54.002,3991050211.2
2018-08-27,54.287,54.685,54.083,54.485,52.253,82100400,0.8234641006661825,54.083 - 54.685,54.384,4464948153.6
2018-08-28,54.752,55.135,54.73,54.925,52.675,91107200,0.8075617142332625,54.73 - 55.135,54.932,5004700710.4
2018-08-29,55.037,55.873,54.853,55.745,53.461,109019200,1.492944924897599,54.853 - 55.873,55.363,6035629969.6
2018-08-30,55.812,57.065,55.6,56.257,53.952,195175200,0.9184680240380327,55.6 - 57.065,56.332,10994609366.4
2018-08-31,56.627,57.217,56.5,56.908,54.576,173360400,1.1571893275503564,56.5 - 57.217,56.858,9856925623.2
2018-09-04,57.103,57.295,56.658,57.09,54.751,109560400,0.3198144373374623,56.658 - 57.295,56.976,6242313350.4
2018-09-05,57.248,57.417,56.275,56.717,54.394,133332000,-0.6533543527763253,56.275 - 57.417,56.846,7579390872.0
2018-09-06,56.557,56.838,55.325,55.775,53.49,137160000,-1.6608776909921241,55.325 - 56.838,56.082,7692207120.0
2018-09-07,55.463,56.342,55.178,55.325,53.058,150479200,-0.8068130883012059,55.178 - 56.342,55.76,8390720192.0
2018-09-10,55.237,55.463,54.118,54.583,52.346,158066000,-1.3411658382286529,54.118 - 55.463,54.79,8660436140.0
2018-09-11,54.502,56.075,54.14,55.963,53.67,142996000,2.5282597145631414,54.14 - 56.075,55.108,7880223568.0
2018-09-12,56.235,56.25,54.96,55.268,53.003,197114800,-1.2418919643335746,54.96 - 56.25,55.605,10960568454.0
2018-09-13,55.88,57.088,55.643,56.603,54.283,166825600,2.415502641673295,55.643 - 57.088,56.366,9403291769.6
2018-09-14,56.438,56.71,55.63,55.96,53.667,127997200,-1.1359821917566237,55.63 - 56.71,56.17,7189602724.0
2018-09-17,55.537,55.737,54.318,54.47,52.238,148780400,-2.6626161543960025,54.318 - 55.737,55.028,8187087851.2
2018-09-18,54.447,55.463,54.28,54.56,52.325,126286800,0.16522856618321757,54.28 - 55.463,54.872,6929609289.6
2018-09-19,54.625,54.905,53.825,54.592,52.356,108495200,0.05865102639295294,53.825 - 54.905,54.365,5898341548.0
2018-09-20,55.06,55.57,54.787,55.007,52.754,106435200,0.7601846424384551,54.787 - 55.57,55.178,5872881465.6
2018-09-21,55.195,55.34,54.322,54.415,52.185,384986800,-1.076226662061186,54.322 - 55.34,54.831,21109211230.8
2018-09-24,54.205,55.315,54.158,55.197,52.936,110773600,1.4371037397776343,54.158 - 55.315,54.736,6063303769.6
2018-09-25,54.938,55.705,54.925,55.548,53.272,98217600,0.6359041252241848,54.925 - 55.705,55.315,5432906544.0
2018-09-26,55.25,55.938,54.94,55.105,52.847,95938800,-0.7975084611507199,54.94 - 55.938,55.439,5318751133.2
2018-09-27,55.955,56.61,55.885,56.237,53.933,120724800,2.0542600489973806,55.885 - 56.61,56.248,6790528550.4
2018-09-28,56.197,56.46,56.005,56.435,54.123,91717600,0.35208136991660144,56.005 - 56.46,56.232,5157464083.2
2018-10-01,56.987,57.355,56.588,56.815,54.487,94403200,0.6733410117834682,56.588 - 57.355,56.972,5378339110.4
2018-10-02,56.812,57.5,56.658,57.32,54.971,99152800,0.8888497755874303,56.658 - 57.5,57.079,5659542671.2
2018-10-03,57.513,58.368,57.445,58.018,55.64,114619200,1.217725052337748,57.445 - 58.368,57.906,6637139395.2
2018-10-04,57.695,58.088,56.682,56.998,54.662,128168000,-1.7580750801475475,56.682 - 58.088,57.385,7354920680.0
2018-10-05,56.99,57.103,55.145,56.072,53.775,134322000,-1.624618407663414,55.145 - 57.103,56.124,7538687928.0
2018-10-08,55.553,56.2,55.05,55.943,53.65,118655600,-0.23006134969325576,55.05 - 56.2,55.625,6600217750.0
2018-10-09,55.91,56.818,55.562,56.717,54.394,107564000,1.3835511145272816,55.562 - 56.818,56.19,6044021160.0
2018-10-10,56.365,56.588,54.013,54.09,51.874,167962400,-4.631768252904767,54.013 - 56.588,55.3,9288320720.0
2018-10-11,53.63,54.875,53.08,53.612,51.416,212497600,-0.8837123312996908,53.08 - 54.875,53.978,11470195452.8
2018-10-12,55.105,55.72,54.21,55.528,53.252,161351600,3.573826755204057,54.21 - 55.72,54.965,8868690694.0
2018-10-15,55.29,55.458,54.318,54.34,52.114,123164000,-2.1394611727416746,54.318 - 55.458,54.888,6760225632.0
2018-10-16,54.732,55.748,54.19,55.537,53.262,116736000,2.202797202797191,54.19 - 55.748,54.969,6416861184.0
2018-10-17,55.575,55.66,54.835,55.298,53.032,91541600,-0.4303437348074257,54.835 - 55.66,55.248,5057490316.8
