Date,Odpiralni,Najvišji,Najnižji,Zapiralni,Prilagojen_zaključni,Volumen,Dnevni_donos,Dnevni_razpon,Povprečni,Vrednost_izmenjanega
2018-07-02,84.135,85.695,83.903,85.689,85.689,63714000,,83.903 - 85.695,84.799,5402883486.0
2018-07-03,86.198,86.25,84.624,84.698,84.698,43546000,-1.1565078364784265,84.624 - 86.25,85.437,3720439602.0
2018-07-05,85.269,85.535,84.107,84.987,84.987,59662000,0.34121230725636664,84.107 - 85.535,84.821,5060590502.0
2018-07-06,84.8,85.763,84.584,85.532,85.532,53006000,0.6412745478720394,84.584 - 85.763,85.174,4514733044.0
2018-07-09,86.202,86.978,85.812,86.951,86.951,60240000,1.6590281999719458,85.812 - 86.978,86.395,5204434800.0
2018-07-10,86.926,87.5,86.55,87.154,87.154,60058000,0.23346482501638288,86.55 - 87.5,87.025,5226547450.0
2018-07-11,86.899,87.848,86.7,87.75,87.75,64196000,0.6838469835004801,86.7 - 87.848,87.274,5602641704.0
2018-07-12,88.226,89.9,88.109,89.831,89.831,90654000,2.3715099715099663,88.109 - 89.9,89.004,8068568616.0
2018-07-13,90.197,90.765,89.761,90.651,90.651,87664000,0.9128251939753529,89.761 - 90.765,90.263,7912815632.0
2018-07-16,91.098,92.098,90.723,91.124,91.124,109324000,0.5217813372163649,90.723 - 92.098,91.41,9993306840.0
2018-07-17,90.578,92.585,89.869,92.197,92.197,113658000,1.17751635134542,89.869 - 92.585,91.227,10368678366.0
2018-07-18,92.4,92.944,91.563,92.146,92.146,97238000,-0.05531633350326359,91.563 - 92.944,92.254,8970594452.0
2018-07-19,91.473,92.05,90.563,90.648,90.648,93538000,-1.625680984524569,90.563 - 92.05,91.306,8540580628.0
2018-07-20,91.251,91.742,90.503,90.685,90.685,77688000,0.04081722707616198,90.503 - 91.742,91.122,7079085936.0
2018-07-23,90.61,90.95,88.499,90.1,90.1,77770000,-0.64509014721289,88.499 - 90.95,89.724,6977835480.0
2018-07-24,91.451,92.0,90.469,91.462,91.462,85574000,1.5116537180910106,90.469 - 92.0,91.234,7807258316.0
2018-07-25,91.465,93.192,91.132,93.18,93.18,74764000,1.8783757188777894,91.132 - 93.192,92.162,6890399768.0
2018-07-26,91.95,92.234,90.225,90.4,90.4,198488000,-2.983472848250701,90.225 - 92.234,91.23,18108060240.0
2018-07-27,93.802,94.003,90.326,90.864,90.864,193620000,0.5132743362831871,90.326 - 94.003,92.164,17844793680.0
2018-07-30,91.367,91.475,88.301,88.961,88.961,131246000,-2.094338792040862,88.301 - 91.475,89.888,11797440448.0
2018-07-31,89.325,90.091,86.966,88.872,88.872,114774000,-0.10004383943525985,86.966 - 90.091,88.528,10160712672.0
2018-08-01,89.2,89.922,88.801,89.858,89.858,83062000,1.1094607975515425,88.801 - 89.922,89.362,7422586444.0
2018-08-02,89.438,91.828,89.3,91.716,91.716,87094000,2.067706826325977,89.3 - 91.828,90.564,7887581016.0
2018-08-03,91.887,92.05,91.075,91.164,91.164,69210000,-0.6018579091979559,91.075 - 92.05,91.562,6337006020.0
2018-08-06,91.29,92.388,90.946,92.387,92.387,67836000,1.34153832653241,90.946 - 92.388,91.667,6218322612.0
2018-08-07,92.727,93.486,92.313,93.124,93.124,67550000,0.7977312825397487,92.313 - 93.486,92.9,6275395000.0
2018-08-08,93.05,94.576,92.725,94.326,94.326,79260000,1.2907521154589485,92.725 - 94.576,93.65,7422699000.0
2018-08-09,94.1,95.729,93.874,94.926,94.926,97208000,0.6360918516633784,93.874 - 95.729,94.802,9215512816.0
2018-08-10,94.425,94.975,93.91,94.315,94.315,72798000,-0.643659271432484,93.91 - 94.975,94.442,6875188716.0
2018-08-13,94.925,96.25,94.684,94.81,94.81,110630000,0.5248369824524257,94.684 - 96.25,95.467,10561514210.0
2018-08-14,95.969,96.05,95.0,95.982,95.982,79722000,1.2361565235734506,95.0 - 96.05,95.525,7615444050.0
2018-08-15,95.478,95.811,93.49,94.131,94.131,154014000,-1.9284865912358562,93.49 - 95.811,94.65,14577425100.0
2018-08-16,95.197,95.25,94.177,94.326,94.326,79142000,0.20715810944320623,94.177 - 95.25,94.714,7495855388.0
2018-08-17,94.29,94.4,92.777,94.111,94.111,82086000,-0.22793291351269618,92.777 - 94.4,93.589,7682346654.0
2018-08-20,94.529,94.588,93.303,93.836,93.836,57240000,-0.29220813719970096,93.303 - 94.588,93.946,5377469040.0
2018-08-21,94.0,94.887,93.72,94.171,94.171,62112000,0.3570058399761322,93.72 - 94.887,94.304,5857410048.0
2018-08-22,93.832,95.29,93.832,95.245,95.245,61610000,1.1404784912552701,93.832 - 95.29,94.561,5825903210.0
2018-08-23,95.358,95.975,95.038,95.145,95.145,71260000,-0.10499238805187217,95.038 - 95.975,95.506,6805757560.0
2018-08-24,95.525,95.8,95.127,95.27,95.27,56018000,0.13137842240791286,95.127 - 95.8,95.464,5347702352.0
2018-08-27,95.75,96.385,95.464,96.384,96.384,71380000,1.169308281725634,95.464 - 96.385,95.924,6847055120.0
2018-08-28,96.886,97.089,96.441,96.641,96.641,62014000,0.26664176626827185,96.441 - 97.089,96.765,6000784710.0
2018-08-29,97.673,99.935,97.447,99.905,99.905,130636000,3.377448494945212,97.447 - 99.935,98.691,12892597476.0
2018-08-30,99.871,101.279,99.345,100.119,100.119,145546000,0.2142034933186432,99.345 - 101.279,100.312,14600010352.0
2018-08-31,100.35,101.119,100.237,100.635,100.635,84088000,0.5153866898391035,100.237 - 101.119,100.678,8465811664.0
2018-09-04,101.325,102.525,100.65,101.976,101.976,114422000,1.3325383812788694,100.65 - 102.525,101.588,11623902136.0
2018-09-05,101.906,102.019,99.494,99.741,99.741,164412000,-2.191692162861847,99.494 - 102.019,100.756,16565495472.0
2018-09-06,100.326,100.375,96.76,97.915,97.915,149774000,-1.83074162079786,96.76 - 100.375,98.568,14762923632.0
2018-09-07,96.936,98.76,96.868,97.604,97.604,97852000,-0.3176224276157935,96.868 - 98.76,97.814,9571295528.0
2018-09-10,98.55,98.652,96.576,96.951,96.951,90896000,-0.669029957788625,96.576 - 98.652,97.614,8872722144.0
2018-09-11,96.413,99.444,95.85,99.357,99.357,100672000,2.481665996224902,95.85 - 99.444,97.647,9830318784.0
2018-09-12,99.7,100.0,98.122,99.5,99.5,88280000,0.1439254405829482,98.122 - 100.0,99.061,8745105080.0
2018-09-13,100.0,100.438,99.102,99.493,99.493,72430000,-0.007035175879399613,99.102 - 100.438,99.77,7226341100.0
2018-09-14,99.646,99.683,97.961,98.509,98.509,72840000,-0.9890143025137355,97.961 - 99.683,98.822,7198194480.0
2018-09-17,97.737,97.841,94.37,95.401,95.401,141004000,-3.1550416713193807,94.37 - 97.841,96.106,13551330424.0
2018-09-18,95.933,97.91,95.772,97.052,97.052,85374000,1.7305898261024577,95.772 - 97.91,96.841,8267703534.0
2018-09-19,97.025,97.041,95.245,96.321,96.321,81136000,-0.7532044677080463,95.245 - 97.041,96.143,7800658448.0
2018-09-20,96.929,97.75,96.613,97.215,97.215,63098000,0.928146510106842,96.613 - 97.75,97.182,6131989836.0
2018-09-21,97.711,97.866,95.525,95.751,95.751,137118000,-1.5059404412899213,95.525 - 97.866,96.696,13258762128.0
2018-09-24,95.189,96.844,93.25,96.718,96.718,84274000,1.0099111236436142,93.25 - 96.844,95.047,8009990878.0
2018-09-25,97.145,98.796,96.942,98.728,98.728,90768000,2.078206745383482,96.942 - 98.796,97.869,8883373392.0
2018-09-26,98.425,99.762,98.076,98.743,98.743,86270000,0.015193258244883268,98.076 - 99.762,98.919,8533742130.0
2018-09-27,99.662,100.808,99.429,100.649,100.649,86588000,1.9302634110772487,99.429 - 100.808,100.119,8669103972.0
2018-09-28,100.22,101.326,99.823,100.15,100.15,81702000,-0.4957823724030974,99.823 - 101.326,100.574,8217096948.0
2018-10-01,101.1,101.66,100.18,100.218,100.218,69210000,0.06789815277083999,100.18 - 101.66,100.92,6984673200.0
2018-10-02,99.999,100.67,98.288,98.565,98.565,108014000,-1.649404298628998,98.288 - 100.67,99.479,10745124706.0
2018-10-03,99.085,99.485,97.491,97.638,97.638,105062000,-0.9404961193121175,97.491 - 99.485,98.488,10347346256.0
2018-10-04,97.45,97.8,94.828,95.471,95.471,145140000,-2.2194227657264642,94.828 - 97.8,96.314,13979013960.0
2018-10-05,95.899,96.454,93.142,94.482,94.482,136446000,-1.0359166657938013,93.142 - 96.454,94.798,12934807908.0
2018-10-08,93.7,95.1,91.533,93.221,93.221,147864000,-1.3346457526301259,91.533 - 95.1,93.316,13798077024.0
