Date,Odpiralni,Najvišji,Najnižji,Zapiralni,Prilagojen_zaključni,Volumen,Dnevni_donos,Dnevni_razpon,Povprečni,Vrednost_izmenjanega
2018-07-02,55.768,57.15,55.33,57.105,57.105,23216000,,55.33 - 57.15,56.24,1305667840.0
2018-07-03,57.471,57.495,55.722,55.814,55.814,16448000,-2.2607477453813085,55.722 - 57.495,56.608,931088384.0
2018-07-05,56.23,57.207,56.156,57.064,57.064,28594000,2.239581467015439,56.156 - 57.207,56.682,1620765108.0
2018-07-06,57.089,57.81,56.862,57.754,57.754,21820000,1.2091686527407886,56.862 - 57.81,57.336,1251071520.0
2018-07-09,58.0,58.396,57.861,58.364,58.364,21584000,1.0562038992970146,57.861 - 58.396,58.128,1254634752.0
2018-07-10,58.5,58.675,58.128,58.357,58.357,21334000,-0.011993694743328565,58.128 - 58.675,58.402,1245948268.0
2018-07-11,57.781,59.022,57.769,58.573,58.573,33252000,0.37013554500746615,57.769 - 59.022,58.396,1941783792.0
2018-07-12,58.743,60.099,58.655,60.063,60.063,44148000,2.543834189814431,58.655 - 60.099,59.377,2621375796.0
2018-07-13,60.14,60.522,59.764,60.221,60.221,32612000,0.2630571233537937,59.764 - 60.522,60.143,1961383516.0
2018-07-16,60.19,60.436,59.67,59.826,59.826,26784000,-0.6559173710167454,59.67 - 60.436,60.053,1608459552.0
2018-07-17,59.137,60.938,59.1,60.654,60.654,40162000,1.3840136395547153,59.1 - 60.938,60.019,2410483078.0
2018-07-18,60.426,61.079,60.228,60.646,60.646,38948000,-0.01318956705246288,60.228 - 61.079,60.654,2362351992.0
2018-07-19,60.333,60.824,59.887,59.955,59.955,38338000,-1.139399135969399,59.887 - 60.824,60.356,2313928328.0
2018-07-20,59.962,60.539,59.829,59.894,59.894,37938000,-0.10174297389708986,59.829 - 60.539,60.184,2283260592.0
2018-07-23,59.783,60.755,59.6,60.55,60.55,65446000,1.095268307342967,59.6 - 60.755,60.178,3938409388.0
2018-07-24,63.55,63.75,62.207,62.908,62.908,107600000,3.894302229562352,62.207 - 63.75,62.978,6776432800.0
2018-07-25,62.631,63.912,62.452,63.797,63.797,51104000,1.413174794938632,62.452 - 63.912,63.182,3228852928.0
2018-07-26,63.359,64.37,63.15,64.275,64.275,54686000,0.7492515322037319,63.15 - 64.37,63.76,3486779360.0
2018-07-27,64.456,64.572,62.224,62.645,62.645,48362000,-2.5359782185919943,62.224 - 64.572,63.398,3066054076.0
2018-07-30,62.252,62.645,61.208,61.502,61.502,43896000,-1.8245670045494489,61.208 - 62.645,61.927,2718347592.0
2018-07-31,61.585,62.061,60.81,61.361,61.361,39382000,-0.22926083704596367,60.81 - 62.061,61.436,2419472552.0
2018-08-01,61.956,62.295,61.247,61.65,61.65,36994000,0.4709831977966594,61.247 - 62.295,61.771,2285156374.0
2018-08-02,60.925,62.221,60.903,62.056,62.056,34704000,0.6585563665855609,60.903 - 62.221,61.562,2136447648.0
2018-08-03,62.259,62.326,61.471,61.908,61.908,21264000,-0.2384942632460918,61.471 - 62.326,61.898,1316199072.0
2018-08-06,62.081,62.123,61.527,61.883,61.883,22114000,-0.04038250306906965,61.527 - 62.123,61.825,1367198050.0
2018-08-07,62.6,63.304,62.59,62.792,62.792,42506000,1.4689009905789918,62.59 - 63.304,62.947,2675625182.0
2018-08-08,62.836,63.586,62.606,63.067,63.067,34344000,0.4379538794750948,62.606 - 63.586,63.096,2166969024.0
2018-08-09,63.137,63.598,63.005,63.223,63.223,27326000,0.24735598649054946,63.005 - 63.598,63.302,1729790452.0
2018-08-10,62.959,63.06,62.358,62.625,62.625,26602000,-0.945858311057679,62.358 - 63.06,62.709,1668184818.0
2018-08-13,62.56,63.299,62.352,62.432,62.432,27500000,-0.30818363273452665,62.352 - 63.299,62.826,1727715000.0
2018-08-14,62.625,63.029,61.977,62.907,62.907,28080000,0.7608277806253172,61.977 - 63.029,62.503,1755084240.0
2018-08-15,62.214,62.599,61.312,61.611,61.611,37052000,-2.060184081262817,61.312 - 62.599,61.956,2295593712.0
2018-08-16,62.099,62.185,60.981,61.203,61.203,32176000,-0.6622194088717781,60.981 - 62.185,61.583,1981494608.0
2018-08-17,61.102,61.347,60.2,60.792,60.792,33092000,-0.6715357090338769,60.2 - 61.347,60.774,2011133208.0
2018-08-20,61.033,61.296,60.435,61.097,61.097,22218000,0.5017107514146524,60.435 - 61.296,60.866,1352320788.0
2018-08-21,61.151,61.638,60.751,60.87,60.87,23082000,-0.3715403374961235,60.751 - 61.638,61.194,1412479908.0
2018-08-22,60.711,61.326,60.661,61.088,61.088,22296000,0.3581402989978777,60.661 - 61.326,60.994,1359922224.0
2018-08-23,60.994,61.758,60.967,61.058,61.058,24666000,-0.049109481403875055,60.967 - 61.758,61.362,1513555092.0
2018-08-24,61.3,61.87,61.071,61.838,61.838,24454000,1.2774738772969974,61.071 - 61.87,61.47,1503187380.0
2018-08-27,62.207,62.894,62.034,62.813,62.813,28580000,1.5767004107506644,62.034 - 62.894,62.464,1785221120.0
2018-08-28,62.795,62.828,62.148,62.293,62.293,27330000,-0.8278541066339851,62.148 - 62.828,62.488,1707797040.0
2018-08-29,62.75,63.359,62.64,63.232,63.232,36926000,1.5073924839066999,62.64 - 63.359,63.0,2326338000.0
2018-08-30,63.17,63.474,62.361,62.722,62.722,30104000,-0.8065536437246945,62.361 - 63.474,62.918,1894083472.0
2018-08-31,62.611,62.627,61.287,61.59,61.59,42308000,-1.8047893880934862,61.287 - 62.627,61.957,2621276756.0
