Date,Odpiralni,Najvišji,Najnižji,Zapiralni,Prilagojen_zaključni,Volumen,Dnevni_donos,Dnevni_razpon,Povprečni,Vrednost_izmenjanega
2018-07-02,193.37,197.45,192.22,197.36,197.36,13961600,,192.22 - 197.45,194.835,2720208336.0
2018-07-03,194.55,195.4,192.52,192.73,192.73,13489500,-2.345966761248497,192.52 - 195.4,193.96,2616423420.0
2018-07-05,194.74,198.65,194.03,198.45,198.45,19684200,2.9678825299642053,194.03 - 198.65,196.34,3864795828.0
2018-07-06,198.45,203.64,197.7,203.23,203.23,19740100,2.408667170571932,197.7 - 203.64,200.67,3961245867.0
2018-07-09,204.93,205.8,202.12,204.74,204.74,18149400,0.7430005412586871,202.12 - 205.8,203.96,3701751624.0
2018-07-10,204.5,204.91,202.26,203.54,203.54,13190100,-0.5861092116831168,202.26 - 204.91,203.585,2685306508.5
2018-07-11,202.22,204.5,201.75,202.54,202.54,12927400,-0.4913039206052905,201.75 - 204.5,203.125,2625878125.0
2018-07-12,203.43,207.08,203.19,206.92,206.92,15454700,2.162535795398446,203.19 - 207.08,205.135,3170299884.5
2018-07-13,207.81,208.43,206.45,207.32,207.32,11486800,0.19331142470520035,206.45 - 208.43,207.44,2382821792.0
2018-07-16,207.5,208.72,206.84,207.23,207.23,11078200,-0.043411151842565054,206.84 - 208.72,207.78,2301828396.0
2018-07-17,204.9,210.46,204.84,209.99,209.99,15349900,1.3318534961154427,204.84 - 210.46,207.65,3187406735.0
2018-07-18,209.82,210.99,208.44,209.36,209.36,15334900,-0.3000142863945898,208.44 - 210.99,209.715,3215958553.5
2018-07-19,208.77,209.99,207.76,208.09,208.09,11350400,-0.6066106228506007,207.76 - 209.99,208.875,2370814800.0
2018-07-20,208.85,211.5,208.5,209.94,209.94,16163900,0.889038396847508,208.5 - 211.5,210.0,3394419000.0
2018-07-23,210.58,211.62,208.8,210.91,210.91,16732000,0.46203677241116736,208.8 - 211.62,210.21,3517233720.0
2018-07-24,215.11,216.2,212.6,214.67,214.67,28468700,1.7827509364183758,212.6 - 216.2,214.4,6103689280.0
2018-07-25,215.72,218.62,214.27,217.5,217.5,58954200,1.3183025108305824,214.27 - 218.62,216.445,12760341819.0
2018-07-26,174.89,180.13,173.75,176.26,176.26,169803700,-18.96091954022989,173.75 - 180.13,176.94,30045066678.0
2018-07-27,179.87,179.93,173.0,174.89,174.89,60073700,-0.7772608646318013,173.0 - 179.93,176.465,10600905470.5
2018-07-30,175.3,175.3,166.56,171.06,171.06,65280800,-2.189947967293715,166.56 - 175.3,170.93,11158447144.0
2018-07-31,170.67,174.24,170.0,172.58,172.58,40356500,0.8885771074476745,170.0 - 174.24,172.12,6946160780.0
2018-08-01,173.93,175.08,170.9,171.65,171.65,34042100,-0.5388805191795187,170.9 - 175.08,172.99,5888942879.0
2018-08-02,170.68,176.79,170.27,176.37,176.37,32400000,2.7497815321875896,170.27 - 176.79,173.53,5622372000.0
2018-08-03,177.69,178.85,176.15,177.78,177.78,24763400,0.799455689743156,176.15 - 178.85,177.5,4395503500.0
2018-08-06,178.97,185.79,178.38,185.69,185.69,49716200,4.449319383507699,178.38 - 185.79,182.085,9052574277.0
2018-08-07,186.5,188.3,183.72,183.81,183.81,33398600,-1.0124400883192441,183.72 - 188.3,186.01,6212473586.0
2018-08-08,184.75,186.85,183.76,185.18,185.18,22205200,0.7453348566454521,183.76 - 186.85,185.305,4114734586.0
2018-08-09,185.85,186.57,182.48,183.09,183.09,19732100,-1.1286316016848486,182.48 - 186.57,184.525,3641065752.5
2018-08-10,182.04,182.1,179.42,180.26,180.26,21500400,-1.5456879130482326,179.42 - 182.1,180.76,3886412304.0
2018-08-13,180.1,182.61,178.9,180.05,180.05,17423300,-0.11649839121268268,178.9 - 182.61,180.755,3149348591.5
2018-08-14,180.71,181.99,178.62,181.11,181.11,19102000,0.5887253540683091,178.62 - 181.99,180.305,3444186110.0
2018-08-15,179.34,180.87,174.78,179.53,179.53,33020200,-0.8723979901717249,174.78 - 180.87,177.825,5871817065.0
2018-08-16,180.42,180.5,174.01,174.7,174.7,31351800,-2.6903581574110214,174.01 - 180.5,177.255,5557263309.0
2018-08-17,174.5,176.22,172.04,173.8,173.8,24893200,-0.5151688609043914,172.04 - 176.22,174.13,4334652916.0
2018-08-20,174.04,174.57,170.91,172.5,172.5,21518000,-0.7479861910241747,170.91 - 174.57,172.74,3717019320.0
2018-08-21,172.81,174.17,171.39,172.62,172.62,19578500,0.06956521739129862,171.39 - 174.17,172.78,3382773230.0
2018-08-22,172.21,174.24,172.13,173.64,173.64,16894100,0.5908932916232068,172.13 - 174.24,173.185,2925804708.5
2018-08-23,173.09,175.55,172.83,172.9,172.9,18053600,-0.42616908546416754,172.83 - 175.55,174.19,3144756584.0
2018-08-24,173.7,174.82,172.92,174.65,174.65,14631600,1.0121457489878471,172.92 - 174.82,173.87,2543996292.0
2018-08-27,175.99,178.67,175.79,177.46,177.46,17921900,1.6089321500143194,175.79 - 178.67,177.23,3176298337.0
2018-08-28,178.1,178.24,175.83,176.26,176.26,15910700,-0.6762087230925418,175.83 - 178.24,177.035,2816750774.5
2018-08-29,176.3,176.79,174.75,175.9,175.9,18494100,-0.20424373085213832,174.75 - 176.79,175.77,3250707957.0
2018-08-30,175.9,179.79,175.7,177.64,177.64,24216500,0.9891984081864535,175.7 - 179.79,177.745,4304361792.5
2018-08-31,177.15,177.62,174.98,175.73,175.73,18065200,-1.0752082864219803,174.98 - 177.62,176.3,3184894760.0
2018-09-04,173.5,173.89,168.8,171.16,171.16,29809000,-2.6005804358959717,168.8 - 173.89,171.345,5107623105.0
2018-09-05,169.49,171.13,166.67,167.18,167.18,31226700,-2.325309651787799,166.67 - 171.13,168.9,5274189630.0
2018-09-06,166.98,166.98,160.0,162.53,162.53,41514800,-2.781433185787774,160.0 - 166.98,163.49,6787254652.0
2018-09-07,160.31,164.63,160.16,163.04,163.04,24300600,0.31378822371253,160.16 - 164.63,162.395,3946295937.0
2018-09-10,163.51,165.01,162.16,164.18,164.18,20197700,0.6992149165848893,162.16 - 165.01,163.585,3304040754.5
2018-09-11,163.94,167.19,163.72,165.94,165.94,20457100,1.0719941527591592,163.72 - 167.19,165.455,3384729480.5
2018-09-12,163.25,164.49,161.8,162.0,162.0,24078100,-2.374352175485117,161.8 - 164.49,163.145,3928221624.5
2018-09-13,162.0,163.32,160.86,161.36,161.36,25453800,-0.39506172839505194,160.86 - 163.32,162.09,4125806442.0
2018-09-14,161.72,162.84,160.34,162.32,162.32,21770400,0.5949429846306309,160.34 - 162.84,161.59,3517878936.0
2018-09-17,161.92,162.06,159.77,160.58,160.58,21005300,-1.07195662888121,159.77 - 162.06,160.915,3380067849.5
2018-09-18,159.39,161.76,158.87,160.3,160.3,22465200,-0.17436791630339732,158.87 - 161.76,160.315,3601508538.0
2018-09-19,160.08,163.44,159.48,163.06,163.06,19629000,1.7217716781035453,159.48 - 163.44,161.46,3169298340.0
2018-09-20,164.5,166.45,164.47,166.02,166.02,18936000,1.8152827180179187,164.47 - 166.45,165.46,3133150560.0
2018-09-21,166.64,167.25,162.81,162.93,162.93,45994800,-1.8612215395735432,162.81 - 167.25,165.03,7590521844.0
2018-09-24,161.03,165.7,160.88,165.41,165.41,19222800,1.522126066408891,160.88 - 165.7,163.29,3138891012.0
2018-09-25,161.99,165.59,161.15,164.91,164.91,27622800,-0.3022791850553208,161.15 - 165.59,163.37,4512736836.0
2018-09-26,164.3,169.3,164.21,166.95,166.95,25252200,1.2370383845734079,164.21 - 169.3,166.755,4210930611.0
2018-09-27,167.55,171.77,167.21,168.84,168.84,27266900,1.132075471698113,167.21 - 171.77,169.49,4621466881.0
2018-09-28,168.33,168.79,162.56,164.46,164.46,34265600,-2.5941719971570687,162.56 - 168.79,165.675,5676953280.0
2018-10-01,163.03,165.88,161.26,162.44,162.44,26407700,-1.228262191414331,161.26 - 165.88,163.57,4319507489.0
2018-10-02,161.58,162.28,158.67,159.33,159.33,36031000,-1.9145530657473486,158.67 - 162.28,160.475,5782074725.0
2018-10-03,160.0,163.66,159.53,162.43,162.43,23109500,1.9456473984811318,159.53 - 163.66,161.595,3734379652.5
2018-10-04,161.46,161.46,157.35,158.85,158.85,25739600,-2.204026349812238,157.35 - 161.46,159.405,4103020938.0
2018-10-05,159.21,160.9,156.2,157.33,157.33,25744000,-0.9568775574441135,156.2 - 160.9,158.55,4081711200.0
2018-10-08,155.54,158.34,154.39,157.25,157.25,24046000,-0.050848534926595246,154.39 - 158.34,156.365,3759952790.0
2018-10-09,157.69,160.59,157.42,157.9,157.9,18844400,0.41335453100159736,157.42 - 160.59,159.005,2996353822.0
2018-10-10,156.82,157.69,151.31,151.38,151.38,30610000,-4.129195693476895,151.31 - 157.69,154.5,4729245000.0
2018-10-11,150.13,154.81,149.16,153.35,153.35,35338900,1.3013608138459531,149.16 - 154.81,151.985,5370982716.5
